
"Alert ID","SMARTS","ARTICLEID","PROPERTY","NAME","DESCRIPTION","PAGE","TABLE","LINE","COMMENT","SMARTS_DESCRIPTION","PUBMEDID","Publication"
"TA1","[ERROR]","A12001","Custom filters ","Failed Molecule","Failed Molecule","-","-","-","-","-","-","2012 Tetko, I.V."
"TA222","[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","A9591","Skin sensitization","Acid halides","R = any atom/ group; X = F, Cl, Br","-","-","-","","","20693071","1994 Barratt"
"TA223","[CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]","A9591","Skin sensitization","Acid azides ","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA224","[#6][Sv6X4](=[OX1])(=[OX1])[Cl,Br]","A9591","Skin sensitization","Sulphonyl halides","R = alkyl, aryl; X = Cl, Br","-","-","-","-"," R = any carbon atom","20693071","1994 Barratt"
"TA225","[Sv6X4](=[OX1])(=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]","A9591","Skin sensitization","Sulphonyl azides","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA226","[CX3](=[OX1])[OX2][CX3](=[OX1])","A9591","Skin sensitization","Acid anhydrides","R = any atom/ group","-","-","-","","","20693071","1994 Barratt"
"TA227","[CX3](=[OX1])[OX2][OX2][CX3](=[OX1])","A9591","Skin sensitization","Diacyl peroxides","R = any atom/ group","-","-","-","","","20693071","1994 Barratt"
"TA228","[cR1]1([OX2][CX3](=[OX1])[#6])[cR1][cR1][cR1][cR1][cR1]1","A9591","Skin sensitization","Phenyl esters","R = alkyl, aryl; R1 = any atom/ group","-","-","-","-"," R = any carbon atom","20693071","1994 Barratt"
"TA229","[NX2]=[CX2]=[OX1]","A9591","Skin sensitization","Isocyanates","R = any atom/ group","-","-","-","","","20693071","1994 Barratt"
"TA230","[$([NX2]=[CX2]=[SX1]),$([NX2]=[CX3]([SX2])[SX2]),$([SX2][#6R1]~([#7X3R1]~[#6R1])~[#16X2R1]~[#6R1])]","A9591","Skin sensitization","Isothiocyanates","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA231","[NX3]1[CX4][CX4][CX3]1(=[OX1])","A9591","Skin sensitization","?-Lactams","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA232","[CX3](=[SX1])[SX2]","A9591","Skin sensitization","Thioesters","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA233","[CX4][Cl,Br,I]","A9591","Skin sensitization","Haloalkanes","R = alkyl; X = Cl, Br, I","-","-","-",""," R = alkyl carbon","20693071","1994 Barratt"
"TA234","[$([#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6]),$([#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6])]","A9591","Skin sensitization","Dialkylsulfates/ sulfonates","R = alkyl, aryl","-","-","-","-"," R = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA235","[CX3](=[OX1])[NX3]([CX4]([Cl,Br,I])([Cl,Br,I])[Cl,Br,I])[CX3](=[OX1])","A9591","Skin sensitization","N-Trihalomethyl imides","R = any atom/ group; X = Cl, Br, I","-","-","-","-","","20693071","1994 Barratt"
"TA236","[$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]","A9591","Skin sensitization","Halogen containing di- or tri-nitro aromatics","R = any atom/ group; X = F, Cl, Br","-","-","-","","","20693071","1994 Barratt"
"TA237","[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]","A9591","Skin sensitization","Quinones","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA238","[#1,CX4][OX2][cR1]1[cR1][cR1][cR1]([OX2][#1,CX4])[cR1][cR1]1","A9591","Skin sensitization","Hydroquinones and O-alkyl precursors","R = any atom/ group; R1 = H or alkyl","-","-","-",""," R1 = H or alkyl carbon","20693071","1994 Barratt"
"TA239","[#1,CX4][OX2][cR1]1[cR1]([OX2][#1,CX4])[cR1][cR1][cR1][cR1]1","A9591","Skin sensitization","Catechols and O-alkyl precursors","R = any atom/ group; R1 = H or alkyl","-","-","-",""," R1 = H or alkyl carbon","20693071","1994 Barratt"
"TA240","[$([CX3]([#6,$([NX3]([CX3]=[OX1])([#6])[#6]),$([OX2]([CX3]=[OX1])[#6]);!$([OH][CX3]=[OX1]);!$([O-][CX3]=[OX1])])(=[OX1])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX3H1](=[OX1])[CX3]([#6,#1])=[CX3])]","A9591","Skin sensitization","?, ?-Unsaturated aldehydes, amides, esters and ketones","R = H, C, N, O (not OH); R1 = not a heteroatom; R2 = not aryl (unless R = H)","-","-","-","-","","20693071","1994 Barratt"
"TA241","[$([CX4]([OX2])([OX2])([#6,#7,#8])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX4H1]([OX2])([OX2])[CX3]([#6,#1])=[CX3])]","A9591","Skin sensitization","Precursors of ?, ?-unsaturated aldehydes, amides, esters and ketones (1)","R = H, C, N, O; R1 = not a heteroatom; R2 = not aryl (unless R = H); R3 = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA242","[$([CX3]([#6,#7,#8;!$([OH])])(=[OX1])[CX4H1]([#1,#6])[CX4]([!a])([!a])([$([OX2][Sv6X4](=[OX1])(=[OX1])[OH]),$([OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CF3]),$([OX2][Sv6X4](=[OX1])(=[OX1])c1ccc([CH3])cc1),I,Br,Cl])),$([CX3H1](=[OX1])[CX4H1]([#1,#6])[CX4]([$([OX2][Sv6X4](=[OX1])(=[OX1])[OH]),$([OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CF3]),$([OX2][Sv6X4](=[OX1])(=[OX1])c1ccc([CH3])cc1),I,Br,Cl]))]","A9591","Skin sensitization","Precursors of ?, ?-unsaturated aldehydes, amides, esters and ketones (2)","R = H, C, N, O (not OH); R1 = not a heteroatom; R2 = not aryl (unless R = H); Y = good leaving group ","-","-","-","-","SMARTS pattern includes next  examples of good leaving groups: -SO3H, -OSO3CH3, -OSO2CH3, -OSO2CF3, -OTs, -I, -Br, -Cl","20693071","1994 Barratt"
"TA243","[CX4,a!r0][CX3](=[OX1])[CH2][CX3](=[OX1])[CX4,a!r0]","A9591","Skin sensitization","1,3-Diketones","R = alkyl, aryl","-","-","-","-"," R = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA244","[CX3]([H])(=[OX1])[#1,CX4,a!r0]","A9591","Skin sensitization","Aldehydes","R = alkyl, aryl","-","-","-","-"," R = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA245","[CX4,a!r0][CX3](=[OX1])[CX4,a!r0]","A9591","Skin sensitization","Ketones","R, R1 = alkyl, aryl","-","-","-",""," R and R1 = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA246","[$([NX3][CH2][NX3]),$([NX3][CH2][OX2]),$([CX4]([F,Cl,Br,I])([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[CH2][OH1])]","A9591","Skin sensitization","Formaldehyde donors","R, R1 = any atom/ group; X = F, Cl, Br, I","-","-","-","-","","20693071","1994 Barratt"
"TA247","[CX4]([OX2])([OX2])([CX4,a!r0])[CX4,a!r0]","A9591","Skin sensitization","Precursors of aldehydes and ketones","R, R1 = alkyl, aryl; R2 = any atom/ group","-","-","-","-"," R and R1 = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA248","[CX3]=[CX3]([#6,#1])[OX2]","A9591","Skin sensitization","Enol precursor of aldehydes and ketones","R, R2 = any atom/ group; R1 = not a heteroatom","-","-","-","-","","20693071","1994 Barratt"
"TA249","[a!r0][$([NX3H2]),$([NX3H1][CX4,a!r0])]","A9591","Skin sensitization","Aromatic primary and secondary amines","R = any atom/ group; R1 = alkyl, aryl","-","-","-",""," R1 = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA250","[CX3](=[OX1])[NX3]([Cl,Br])[CX3](=[OX1])","A9591","Skin sensitization","N-Haloimides","R = any atom/ group; X = Cl, Br","-","-","-","-","","20693071","1994 Barratt"
"TA251","[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl","A9591","Skin sensitization","N-Chloro-sulfonamides","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
"TA252","[CX4,a!r0][SX2][SX2][CX4,a!r0]","A9591","Skin sensitization","Disullides","R = alkyl, aryl","-","-","-",""," R = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA253","c1ccccc1[OX2][CX3](=[OX1])[OX2][CX4,a!r0]","A9591","Skin sensitization","Phenyl carbonates","R = any atom/ group; R1 = alkyl, aryl","-","-","-",""," R1 = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA254","[CX4]1[CX4][OX2]1","A9591","Skin sensitization","Epoxides","R = any atom/ group","-","-","-","-","","20693071","1994 Barratt"
