
"Alert ID","SMARTS","ARTICLEID","PROPERTY","NAME","DESCRIPTION","PAGE","TABLE","LINE","COMMENT","SMARTS_DESCRIPTION","PUBMEDID","Publication"
"TA255","[CX4,a!r0][CX3](=[OX1])[CX3](=[OX1])[#1,CX4,a!r0]","A9591","Skin sensitization","1.2-Dicarbonyls","R = alkyl, aryl; R1 = H, alkyl, aryl","-","-","-",""," R = alkyl carbon or any aromatic atom; R1 = hydrogen, alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA256","[$([SX2]1[CX3]([CX4,a!r0])=[CX3]([CX4,a!r0])[CX3](=[OX1])[NX3]1([CX4,a!r0])),$([sX2]1[cX3]([CX4,a!r0])[cX3]([CX4,a!r0])[cX3](=[OX1])[nX3]1([CX4,a!r0]))]","A9591","Skin sensitization","Thiazolones","R = alkyl, aryl","-","-","-",""," R = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA257","[CX4,a!r0][NX3H1][CX4][CX4][NX3H1][CX4,a!r0]","A9591","Skin sensitization","1, 2-Diamines","R = alkyl, aryl","-","-","-","-","R = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA258","[$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cccc1),$([a!r0][NX2]=[NX2]c1ccc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1),$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1),$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1[$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])]","A9591","Skin sensitization","Amine precursor - aromatic azo compound","R = aryl; R1 or R2 = electron donating group","-","-","-",""," SMARTS pattern includes next  examples of electron donating groups: -NH2, -NHR, -NR2, -NHC(O)CH3, -NHC(O)R, -OH, -O-, -OR, -CH3, -CH2CH3, -CH=CH2","20693071","1994 Barratt"
"TA259","[NX4+]([CX4,a!r0])([CX4,a!r0])([CX4,a!r0])[CX4,a!r0]","A9591","Skin sensitization","Quaternary ammonium cation","R = alkyl, aryl","-","-","-",""," R = alkyl carbon or any aromatic atom","20693071","1994 Barratt"
"TA260","[$(n1c([F,Cl])ncnc1),$(n1c([F,Cl])ccnc1),$(n1c([F,Cl])nccc1)]","A9591","Skin sensitization","Activated N-heterocycle halides","X = F, Cl","-","-","-","","","20693071","1994 Barratt"
"TA261","[$([cR1]1[cR1][cR1][cR1][cR2]2[nR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1][cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[nR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]([F,Cl])[cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[cR1]([F,Cl])[nR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[cR1][nR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR2]12),$([nR1]1[cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1][cR1][cR1]1),$([nR1]1[cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]([F,Cl])[cR1][cR1]1),$([nR1]1[cR1]([F,Cl])[cR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]1),$([nR1]1[cR1][cR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]1)]","A9591","Skin sensitization","Activated halo-pyridines, quinolines, and isoquinolines","X or X1 = F, Cl; R or R1 = withdrawing group","-","-","-","","SMARTS pattern includes next  examples of withdrawing group groups: -NO2, -COOH, -COOR, -SO3H, -C(O)H, -C(O)Hal, -CN, -C(Hal)3, -CH2OH, -CH2NO2, -CH2Hal","20693071","1994 Barratt"
"TA262","[$([NX3H2][NX3]([#1,#6;!$([CX3](=[OX1])[#1,#6])])[#1,#6;!$([CX3](=[OX1])[#1,#6])]),$([NX4H2+]([#1,#6;!$([CX3](=[OX1])[#1,#6])])[NX3]([#1,#6;!$([CX3](=[OX1])[#1,#6])])[#1,#6;!$([CX3](=[OX1])[#1,#6])]),$([NX4H3+][NX4H2+][#1,#6;!$([CX3](=[OX1])[#1,#6])]),$([NX3!R]([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])[NX2!R]=[CX3!R]([*!R])([*!R])),$([NX3!R]([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])[NX3+!R]=[CX3!R]([*!R])([*!R]))]","A9996","Skin sensitization","Hydrazines, hydrazonium salts and precursors","R = H or any type of carbon atom linked to any other atom, R ? -C(=O)-R; R1 = any atom/ group","-","-","-","Requirement for activity is the ability to readily generate a free hydrazine or hydrazonium ion. Therefore, ring systems containing both R are allowed, while ring systems containing the hydrazine structure are not allowed","","15656773","2004 Gerner"
"TA263","[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","A9996","Skin sensitization","Acid halides","R = any atom/ group; X = F, Cl, Br","-","-","-","-","","15656773","2004 Gerner"
"TA264","[CX3H1](=[OX1])[#1,#6]","A9996","Skin sensitization","Aldehydes","R = any type of carbon atom linked to any other atom","-","-","-","-","","15656773","2004 Gerner"
"TA265","[$([F,Cl][cR1]1[cR1]([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[cR1][cR1]([F,Cl,$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([CX2]#[NX1]),$([CX3](=[OX1])([$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])),$([CX3](=[OX1])[OX2][$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])])[cR1][cR1]1),$([F,Cl][cR1]1[cR1]([F,Cl,$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([CX2]#[NX1]),$([CX3](=[OX1])([$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])),$([CX3](=[OX1])[OX2][$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])])[cR1][cR1]([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[cR1][cR1]1)]","A9996","Skin sensitization","Halonitrobenzenes","R = F, Cl, NO2, CN, -C(=O)R1, -C(=O)OR1, where R1 = alkyl; X = F, Cl","-","-","-","The toxicophor may includes additional R groups which are activating"," alkyl group (R1) is described as a saturated chain including only carbon or hydrogen atoms till C ? 5 (for C > 5 no limitations are imposed) or as a cyclobutyl, a cyclopentyl, a cyclohexyl or a benzyl group (see p. 503 in the reference)","15656773","2004 Gerner"
"TA266","[a!r0][Sv4X3](=[OX1])[$([OH]),$([O-])]","A9996","Skin sensitization","Aromatic sulphuric acids and salts","R = any atom/ group","-","-","-","In general, aromatic sulphates and sulphonates are not skin sensitisers","","15656773","2004 Gerner"
"TA267","[$([CX3](=[OX1])[OX2][CX3](=[OX1])),$([CX3](=[OX1])[OX2][OX2][CX3](=[OX1]))]","A9996","Skin sensitization","Acid anhydrides","R = any atom/ group","-","-","-","-","","15656773","2004 Gerner"
"TA268","[NX2]=[CX2]=[OX1,SX1]","A9996","Skin sensitization","Iso(thio)cyanates","R = any atom/ group","-","-","-","-","","15656773","2004 Gerner"
